Date;Sales rep;Item;Price;Quantity;Sale
2020-05-31;Mia;Markers;4;1;4
2020-02-01;Mia;Desk chair;199;2;398
2020-09-21;Oliver;Table;1099;2;2198
2020-07-15;Charlotte;Desk pad;9;2;18
2020-05-27;Emma;Book;12;1;12
2020-12-05;Noah;Light;399;4;1596
2020-01-08;Noah;Light;399;2;798
2020-12-09;Ethan;Book;12;1;12
2020-12-08;Charlotte;Light;399;2;798
2020-08-13;Charlotte;Table;1099;5;5495
2020-04-09;Noah;Light;399;5;1995
2020-12-28;Mia;Desk chair;199;1;199
2020-01-15;Charlotte;Markers;4;2;8
2020-06-19;Charlotte;File folders;19;4;76
2020-09-09;Ethan;File folders;19;4;76
2020-08-09;Oliver;Light;399;4;1596
2020-02-11;Ethan;File folders;19;4;76
2020-07-31;Sophia;Book;12;4;48
2020-07-11;Mia;Pen;3;5;15
2020-12-28;Liam;Table;1099;1;1099
2020-10-27;Noah;Table;1099;2;2198
2020-12-29;Liam;Markers;4;2;8
2020-03-01;Mia;Desk pad;9;4;36
2020-11-15;Noah;Book;12;2;24
2020-04-27;Liam;Pen;3;1;3
2020-10-11;William;Desk chair;199;5;995
2020-05-12;Mia;Desk pad;9;3;27
2020-12-14;Mia;Book;12;1;12
2020-06-02;Mia;Pen;3;1;3
2020-05-29;Charlotte;Markers;4;2;8
2020-04-03;Sophia;Desk pad;9;4;36
2020-01-07;Oliver;Table;1099;4;4396
2020-03-03;Oliver;File folders;19;2;38
2020-10-04;Mia;Markers;4;1;4
2020-01-12;Ethan;Markers;4;3;12
2020-07-04;Charlotte;Desk pad;9;1;9
2020-02-02;William;Book;12;3;36
2020-03-18;Emma;Table;1099;1;1099
2020-01-20;Sophia;Light;399;2;798
2020-02-18;Charlotte;Table;1099;3;3297
2020-04-03;William;Book;12;4;48
2020-07-13;Oliver;Table;1099;1;1099
2020-04-24;Ethan;Pen;3;4;12
2020-06-24;Mia;Light;399;1;399
2020-01-21;Oliver;Desk chair;199;4;796
2020-10-13;Charlotte;Desk pad;9;4;36
2020-01-28;Oliver;Pen;3;2;6
2020-04-20;Mia;Desk pad;9;5;45
2020-12-11;Noah;Desk chair;199;4;796
2020-03-11;Liam;Desk chair;199;5;995
2020-04-09;Noah;Desk pad;9;3;27
2020-12-24;Emma;Pen;3;2;6
2020-12-14;Liam;Markers;4;5;20
2020-07-05;Charlotte;Table;1099;1;1099
2020-03-06;Ethan;Pen;3;1;3
2020-07-08;Ethan;Desk pad;9;2;18
2020-03-12;William;Desk chair;199;4;796
2020-11-18;Ethan;Desk chair;199;2;398
2020-05-14;William;Desk pad;9;4;36
2020-11-29;William;Table;1099;1;1099
2020-03-18;Ethan;Desk pad;9;3;27
2020-04-02;Emma;Desk pad;9;3;27
2020-02-19;Charlotte;File folders;19;2;38
2020-09-12;Liam;Table;1099;2;2198
2020-11-17;William;Pen;3;4;12
2020-09-11;Sophia;Light;399;1;399
2020-07-25;Liam;Book;12;4;48
2020-11-01;Noah;Table;1099;4;4396
2020-01-05;Emma;Light;399;1;399
2020-10-16;Liam;Light;399;2;798
2020-02-11;Charlotte;Desk chair;199;1;199
2020-08-16;Liam;Light;399;3;1197
2020-06-20;Ethan;Desk chair;199;4;796
2020-03-13;Oliver;File folders;19;2;38
2020-12-22;William;Light;399;5;1995
2020-07-02;Noah;Book;12;4;48
2020-02-09;Liam;Light;399;5;1995
2020-03-26;Oliver;Table;1099;2;2198
2020-05-06;Charlotte;Book;12;2;24
2020-01-23;Ethan;Desk pad;9;3;27
2020-02-23;Emma;Desk chair;199;4;796
2020-06-13;Emma;Markers;4;3;12
2020-04-16;Liam;Table;1099;1;1099
2020-08-28;Ethan;Light;399;3;1197
2020-11-05;Emma;Desk chair;199;3;597
2020-11-27;Mia;Light;399;3;1197
2020-03-25;Oliver;Pen;3;4;12
2020-12-20;Sophia;Markers;4;4;16
2020-02-16;Ethan;Book;12;4;48
2020-10-15;Oliver;Desk chair;199;2;398
2020-10-10;Ethan;Desk pad;9;2;18
2020-10-28;Noah;Pen;3;5;15
2020-05-24;Mia;Light;399;1;399
2020-07-16;Oliver;Table;1099;2;2198
2020-02-23;Emma;Desk chair;199;4;796
2020-07-29;Mia;Table;1099;3;3297
2020-05-12;Oliver;Pen;3;4;12
2020-04-13;Mia;Desk pad;9;4;36
2020-02-07;Mia;Desk chair;199;2;398
2020-04-02;Sophia;Book;12;2;24
2020-10-15;Oliver;Table;1099;3;3297
2020-06-10;Emma;Pen;3;4;12
2020-11-22;William;Pen;3;2;6
2020-12-19;Oliver;Pen;3;4;12
2020-06-25;Oliver;Pen;3;3;9
2020-05-12;Oliver;Desk chair;199;3;597
2020-03-30;Sophia;Book;12;3;36
2020-10-27;Ethan;Desk chair;199;1;199
2020-05-20;Liam;Desk chair;199;1;199
2020-08-09;Noah;Light;399;5;1995
2020-01-11;Sophia;Table;1099;2;2198
2020-01-29;William;Light;399;1;399
2020-03-19;William;Table;1099;5;5495
2020-12-17;Ethan;File folders;19;5;95
2020-03-20;William;Desk pad;9;1;9
2020-11-24;Liam;Pen;3;3;9
2020-01-03;Sophia;Pen;3;2;6
2020-11-13;Mia;Markers;4;1;4
2020-06-22;William;File folders;19;1;19
2020-01-25;Noah;Desk pad;9;5;45
2020-11-26;Sophia;Book;12;1;12
2020-11-14;Mia;Table;1099;4;4396
2020-06-14;Charlotte;Pen;3;1;3
2020-05-31;Oliver;Pen;3;3;9
2020-12-05;Liam;File folders;19;4;76
2020-02-27;Charlotte;Table;1099;4;4396
2020-11-18;Sophia;Table;1099;2;2198
2020-10-21;Mia;Desk pad;9;1;9
2020-07-20;Ethan;Pen;3;1;3
2020-03-09;Sophia;File folders;19;4;76
2020-08-12;Sophia;Markers;4;3;12
2020-04-25;Sophia;Pen;3;2;6
2020-06-28;Emma;Light;399;4;1596
2020-03-20;Emma;Pen;3;3;9
2020-08-31;Sophia;Desk pad;9;4;36
2020-04-15;Oliver;File folders;19;4;76
2020-09-20;Sophia;Light;399;3;1197
2020-04-17;Emma;Book;12;1;12
2020-06-26;William;Light;399;5;1995
2020-02-10;Ethan;Pen;3;2;6
2020-08-09;Oliver;Desk chair;199;4;796
2020-03-15;Liam;Book;12;1;12
2020-08-19;Ethan;Pen;3;3;9
2020-01-28;Noah;File folders;19;5;95
2020-06-21;Ethan;Book;12;3;36
2020-08-22;Noah;Desk chair;199;3;597
2020-05-12;William;Markers;4;1;4
2020-09-25;Mia;Markers;4;4;16
2020-12-25;Ethan;Book;12;2;24
2020-12-16;Sophia;Pen;3;4;12
2020-08-02;Noah;Light;399;3;1197
2020-11-14;Charlotte;Markers;4;4;16
2020-05-12;Liam;Book;12;1;12
2020-03-29;Noah;Table;1099;3;3297
2020-10-06;Emma;File folders;19;5;95
2020-02-21;Liam;Markers;4;1;4
2020-08-25;Charlotte;Markers;4;4;16
2020-07-22;Liam;File folders;19;4;76
2020-10-15;Noah;Desk chair;199;1;199
2020-01-04;Liam;Book;12;1;12
2020-04-24;Mia;Desk chair;199;1;199
2020-10-31;Mia;Desk chair;199;5;995
2020-09-08;Liam;Light;399;5;1995
2020-06-07;Ethan;Book;12;4;48
2020-11-27;Noah;Book;12;5;60
2020-08-30;Sophia;Light;399;4;1596
2020-01-24;Charlotte;Pen;3;3;9
2020-09-06;Oliver;Pen;3;1;3
2020-08-02;Mia;Desk chair;199;5;995
2020-11-07;Liam;File folders;19;5;95
2020-07-16;William;Desk pad;9;1;9
2020-08-05;Charlotte;Light;399;3;1197
2020-05-20;Ethan;Pen;3;2;6
2020-04-25;Emma;Pen;3;1;3
2020-12-27;William;Markers;4;5;20
2020-07-29;Emma;Desk pad;9;5;45
2020-11-10;Noah;Desk chair;199;4;796
2020-05-06;Sophia;File folders;19;4;76
2020-08-18;Noah;Light;399;3;1197
2020-11-29;Oliver;Desk chair;199;1;199
2020-04-20;Oliver;Table;1099;1;1099
2020-07-30;Oliver;Table;1099;5;5495
2020-08-23;Charlotte;Pen;3;1;3
2020-08-25;Charlotte;File folders;19;4;76
2020-08-31;William;Light;399;4;1596
2020-11-14;Charlotte;Desk chair;199;2;398
2020-04-29;Oliver;Book;12;2;24
2020-02-01;William;Pen;3;4;12
2020-12-28;Ethan;Book;12;3;36
2020-04-27;Mia;Book;12;1;12
2020-01-16;Emma;Desk pad;9;2;18
2020-05-15;William;Pen;3;5;15
2020-12-07;Charlotte;File folders;19;2;38
2020-03-13;William;Markers;4;3;12
2020-02-16;Ethan;Table;1099;3;3297
2020-02-05;Emma;Table;1099;1;1099
2020-01-28;Mia;Book;12;2;24
2020-09-21;Emma;Desk pad;9;2;18
2020-10-15;Mia;Markers;4;4;16
2020-09-27;Noah;File folders;19;4;76
2020-04-11;Emma;Desk pad;9;5;45
2020-06-08;William;Book;12;1;12
2020-02-23;Oliver;Desk pad;9;1;9
2020-02-01;Oliver;Desk chair;199;3;597
2020-10-27;Mia;File folders;19;1;19
2020-02-03;Charlotte;Light;399;5;1995
2020-04-23;Liam;Pen;3;3;9
2020-09-25;William;Book;12;3;36
2020-12-18;Mia;Light;399;2;798
2020-02-17;Mia;Light;399;1;399
2020-01-04;Sophia;File folders;19;5;95
2020-06-05;William;File folders;19;2;38
2020-01-04;Noah;File folders;19;5;95
2020-11-07;Oliver;Desk chair;199;4;796
2020-01-02;William;Book;12;3;36
2020-12-01;Sophia;Desk chair;199;2;398
2020-01-22;Mia;File folders;19;1;19
2020-02-28;Oliver;Desk pad;9;4;36
2020-04-29;Charlotte;Desk chair;199;2;398
